student_id,student_name,age,gender,Country,university,program_level,Program,year_of_study,tuition_usd,scholarship,online_classes,campus_facilities_rating,teaching_quality_rating,overall_satisfaction,City,University,Level,Duration_Years,Tuition_USD,Living_Cost_Index,Rent_USD,Visa_Fee_USD,Insurance_USD,Exchange_Rate,efficiency_score
1,Dustin Shaw,30,Other,Netherlands,"Herrera, Juarez and Williams University",Bachelor,Data Science,5,47419,Yes,No,1,2,Satisfied,Maastricht,Maastricht University,Bachelor,3.0,11500,67.2,850,180,720,0.92,3
1,Dustin Shaw,30,Other,Netherlands,"Herrera, Juarez and Williams University",Bachelor,Data Science,5,47419,Yes,No,1,2,Satisfied,Utrecht,Utrecht University,Bachelor,3.0,13900,75.4,1100,171,720,0.92,3
1,Dustin Shaw,30,Other,Netherlands,"Herrera, Juarez and Williams University",Bachelor,Data Science,5,47419,Yes,No,1,2,Satisfied,Tilburg,Tilburg University,Master,2.0,14000,70.5,950,171,720,0.92,3
2,Richard Hughes,20,Female,UK,Norton LLC University,Master,Computer Science,4,6419,Yes,Yes,3,4,Satisfied,Glasgow,University of Glasgow,Master,1.0,33500,67.5,1100,485,800,0.79,3
2,Richard Hughes,20,Female,UK,Norton LLC University,Master,Computer Science,4,6419,Yes,Yes,3,4,Satisfied,London,University College London,Master,1.0,39200,76.2,1900,485,800,0.79,3
2,Richard Hughes,20,Female,UK,Norton LLC University,Master,Computer Science,4,6419,Yes,Yes,3,4,Satisfied,Nottingham,University of Nottingham,Bachelor,3.0,28900,64.8,850,485,800,0.79,3
2,Richard Hughes,20,Female,UK,Norton LLC University,Master,Computer Science,4,6419,Yes,Yes,3,4,Satisfied,Cambridge,University of Cambridge,Bachelor,3.0,38500,78.5,1800,490,800,0.79,3
2,Richard Hughes,20,Female,UK,Norton LLC University,Master,Computer Science,4,6419,Yes,Yes,3,4,Satisfied,Oxford,University of Oxford,Bachelor,3.0,37900,77.8,1850,490,800,0.79,3
2,Richard Hughes,20,Female,UK,Norton LLC University,Master,Computer Science,4,6419,Yes,Yes,3,4,Satisfied,London,Imperial College London,Bachelor,3.0,37500,83.2,2200,490,800,0.79,3
2,Richard Hughes,20,Female,UK,Norton LLC University,Master,Computer Science,4,6419,Yes,Yes,3,4,Satisfied,London,University College London,Bachelor,3.0,36800,83.2,2100,490,800,0.79,3
2,Richard Hughes,20,Female,UK,Norton LLC University,Master,Computer Science,4,6419,Yes,Yes,3,4,Satisfied,London,King's College London,Bachelor,3.0,35500,83.2,2000,490,800,0.79,3
2,Richard Hughes,20,Female,UK,Norton LLC University,Master,Computer Science,4,6419,Yes,Yes,3,4,Satisfied,Edinburgh,University of Edinburgh,Bachelor,4.0,32500,75.4,1600,490,800,0.79,3
2,Richard Hughes,20,Female,UK,Norton LLC University,Master,Computer Science,4,6419,Yes,Yes,3,4,Satisfied,Manchester,University of Manchester,Bachelor,3.0,31800,72.1,1400,490,800,0.79,3
2,Richard Hughes,20,Female,UK,Norton LLC University,Master,Computer Science,4,6419,Yes,Yes,3,4,Satisfied,Bristol,University of Bristol,Bachelor,3.0,31500,74.8,1500,490,800,0.79,3
2,Richard Hughes,20,Female,UK,Norton LLC University,Master,Computer Science,4,6419,Yes,Yes,3,4,Satisfied,Warwick,University of Warwick,Bachelor,3.0,31200,71.5,1300,490,800,0.79,3
2,Richard Hughes,20,Female,UK,Norton LLC University,Master,Computer Science,4,6419,Yes,Yes,3,4,Satisfied,Glasgow,University of Glasgow,Bachelor,4.0,30800,73.2,1400,490,800,0.79,3
2,Richard Hughes,20,Female,UK,Norton LLC University,Master,Computer Science,4,6419,Yes,Yes,3,4,Satisfied,Birmingham,University of Birmingham,Bachelor,3.0,30500,71.8,1300,490,800,0.79,3
2,Richard Hughes,20,Female,UK,Norton LLC University,Master,Computer Science,4,6419,Yes,Yes,3,4,Satisfied,Leeds,University of Leeds,Bachelor,3.0,30200,71.2,1250,490,800,0.79,3
2,Richard Hughes,20,Female,UK,Norton LLC University,Master,Computer Science,4,6419,Yes,Yes,3,4,Satisfied,Sheffield,University of Sheffield,Bachelor,3.0,29800,70.5,1200,490,800,0.79,3
2,Richard Hughes,20,Female,UK,Norton LLC University,Master,Computer Science,4,6419,Yes,Yes,3,4,Satisfied,Nottingham,University of Nottingham,Bachelor,3.0,29500,70.8,1150,490,800,0.79,3
2,Richard Hughes,20,Female,UK,Norton LLC University,Master,Computer Science,4,6419,Yes,Yes,3,4,Satisfied,Southampton,University of Southampton,Bachelor,3.0,29200,72.4,1300,490,800,0.79,3
