Student_ID,Nama,IPK,Universitas_Tujuan,Tipe_Program,Biaya_Studi,Limit_Akomodasi,Total_Biaya_Mhs
BINUS043,Student_43,4.0,Arizona State University,SE,0,142321711,142321711
BINUS038,Student_38,3.99,Harvard University,SA,415500000,182143354,597643354
BINUS048,Student_48,3.99,Tsinghua University,SE,0,80551662,80551662
BINUS028,Student_28,3.98,University of Bonn,SE,0,95668301,95668301
BINUS079,Student_79,3.97,University of Southampton,SA,219000000,108434960,327434960
BINUS022,Student_22,3.93,Xi'an Jiaotong University,SA,47250000,85186674,132436674
BINUS066,Student_66,3.92,Leeds Beckett University,SA,255000000,104032852,359032852
BINUS034,Student_34,3.9,University of Bath,SA,196500000,100464566,296964566
BINUS030,Student_30,3.87,TIDAK DITEMPATKAN,-,0,0,0
BINUS009,Student_9,3.86,University of Minnesota,SE,0,153248712,153248712
BINUS075,Student_75,3.85,University of Essex,SA,198750000,101895284,300645284
BINUS003,Student_3,3.74,UIUC,SE,0,144060465,144060465
BINUS035,Student_35,3.73,TIDAK DITEMPATKAN,-,0,0,0
BINUS021,Student_21,3.66,University of Waterloo,SE,0,100575524,100575524
BINUS059,Student_59,3.65,Arizona State University,SE,0,142321711,142321711
BINUS005,Student_5,3.64,Northeastern University,SA,405000000,179366850,584366850
BINUS053,Student_53,3.63,University of Glasgow,SE,0,107351272,107351272
BINUS047,Student_47,3.63,Goethe University,SA,0,98564296,98564296
BINUS045,Student_45,3.61,Hokkaido University,SA,60750000,84560984,145310984
BINUS006,Student_6,3.6,University of Western Australia,SE,0,121692923,121692923
BINUS058,Student_58,3.57,UNIMAS,SE,0,52104757,52104757
BINUS056,Student_56,3.55,TIDAK DITEMPATKAN,-,0,0,0
BINUS036,Student_36,3.55,TIDAK DITEMPATKAN,-,0,0,0
BINUS044,Student_44,3.54,TIDAK DITEMPATKAN,-,0,0,0
BINUS071,Student_71,3.51,TIDAK DITEMPATKAN,-,0,0,0
BINUS013,Student_13,3.51,TIDAK DITEMPATKAN,-,0,0,0
BINUS004,Student_4,3.51,TIDAK DITEMPATKAN,-,0,0,0
BINUS032,Student_32,3.49,TIDAK DITEMPATKAN,-,0,0,0
BINUS010,Student_10,3.48,TIDAK DITEMPATKAN,-,0,0,0
BINUS063,Student_63,3.46,TIDAK DITEMPATKAN,-,0,0,0
BINUS062,Student_62,3.45,TIDAK DITEMPATKAN,-,0,0,0
BINUS027,Student_27,3.39,TIDAK DITEMPATKAN,-,0,0,0
BINUS033,Student_33,3.38,TIDAK DITEMPATKAN,-,0,0,0
BINUS025,Student_25,3.36,TIDAK DITEMPATKAN,-,0,0,0
BINUS050,Student_50,3.35,TIDAK DITEMPATKAN,-,0,0,0
BINUS046,Student_46,3.35,TIDAK DITEMPATKAN,-,0,0,0
BINUS051,Student_51,3.32,TIDAK DITEMPATKAN,-,0,0,0
BINUS074,Student_74,3.31,TIDAK DITEMPATKAN,-,0,0,0
BINUS052,Student_52,3.27,TIDAK DITEMPATKAN,-,0,0,0
BINUS040,Student_40,3.25,TIDAK DITEMPATKAN,-,0,0,0
BINUS065,Student_65,3.22,TIDAK DITEMPATKAN,-,0,0,0
BINUS072,Student_72,3.21,TIDAK DITEMPATKAN,-,0,0,0
BINUS011,Student_11,3.19,TIDAK DITEMPATKAN,-,0,0,0
BINUS024,Student_24,3.18,TIDAK DITEMPATKAN,-,0,0,0
BINUS080,Student_80,3.16,TIDAK DITEMPATKAN,-,0,0,0
BINUS055,Student_55,3.15,TIDAK DITEMPATKAN,-,0,0,0
BINUS069,Student_69,3.1,TIDAK DITEMPATKAN,-,0,0,0
BINUS067,Student_67,3.09,TIDAK DITEMPATKAN,-,0,0,0
BINUS068,Student_68,3.04,TIDAK DITEMPATKAN,-,0,0,0
BINUS077,Student_77,3.01,TIDAK DITEMPATKAN,-,0,0,0
BINUS020,Student_20,3.01,TIDAK DITEMPATKAN,-,0,0,0
BINUS023,Student_23,3.01,TIDAK DITEMPATKAN,-,0,0,0
BINUS007,Student_7,3.01,TIDAK DITEMPATKAN,-,0,0,0
BINUS002,Student_2,2.97,TIDAK DITEMPATKAN,-,0,0,0
BINUS037,Student_37,2.93,TIDAK DITEMPATKAN,-,0,0,0
BINUS026,Student_26,2.91,TIDAK DITEMPATKAN,-,0,0,0
BINUS064,Student_64,2.91,TIDAK DITEMPATKAN,-,0,0,0
BINUS039,Student_39,2.91,TIDAK DITEMPATKAN,-,0,0,0
BINUS031,Student_31,2.9,TIDAK DITEMPATKAN,-,0,0,0
BINUS016,Student_16,2.89,TIDAK DITEMPATKAN,-,0,0,0
BINUS042,Student_42,2.87,TIDAK DITEMPATKAN,-,0,0,0
BINUS078,Student_78,2.85,TIDAK DITEMPATKAN,-,0,0,0
BINUS041,Student_41,2.83,TIDAK DITEMPATKAN,-,0,0,0
BINUS060,Student_60,2.82,TIDAK DITEMPATKAN,-,0,0,0
BINUS070,Student_70,2.82,TIDAK DITEMPATKAN,-,0,0,0
BINUS029,Student_29,2.81,TIDAK DITEMPATKAN,-,0,0,0
BINUS073,Student_73,2.74,TIDAK DITEMPATKAN,-,0,0,0
BINUS001,Student_1,2.73,TIDAK DITEMPATKAN,-,0,0,0
BINUS014,Student_14,2.67,TIDAK DITEMPATKAN,-,0,0,0
BINUS017,Student_17,2.65,TIDAK DITEMPATKAN,-,0,0,0
BINUS015,Student_15,2.61,TIDAK DITEMPATKAN,-,0,0,0
BINUS054,Student_54,2.6,TIDAK DITEMPATKAN,-,0,0,0
BINUS049,Student_49,2.59,TIDAK DITEMPATKAN,-,0,0,0
BINUS008,Student_8,2.59,TIDAK DITEMPATKAN,-,0,0,0
BINUS018,Student_18,2.59,TIDAK DITEMPATKAN,-,0,0,0
BINUS076,Student_76,2.55,TIDAK DITEMPATKAN,-,0,0,0
BINUS012,Student_12,2.53,TIDAK DITEMPATKAN,-,0,0,0
BINUS057,Student_57,2.53,TIDAK DITEMPATKAN,-,0,0,0
BINUS019,Student_19,2.51,TIDAK DITEMPATKAN,-,0,0,0
BINUS061,Student_61,2.51,TIDAK DITEMPATKAN,-,0,0,0
